depths	GICC05_kaBP	d18ONGRIP2
NA	0.07	-34.91
NA	0.09	-35.01
NA	0.11	-34.88
NA	0.13	-34.59
NA	0.15	-34.91
NA	0.17	-35.155
NA	0.19	-35.02
NA	0.21	-35.4
NA	0.23	-35.47
NA	0.25	-35.385
NA	0.27	-35.365
NA	0.29	-35.455
NA	0.31	-35.805
NA	0.33	-35.59
NA	0.35	-35.705
NA	0.37	-35.72
NA	0.39	-35.765
NA	0.41	-35.735
NA	0.43	-35.34
NA	0.45	-35.535
NA	0.47	-35.375
NA	0.49	-35.32
NA	0.51	-35.72
NA	0.53	-35.38
NA	0.55	-35
NA	0.57	-35.47
NA	0.59	-35.5
NA	0.61	-35.055
NA	0.63	-35.01
NA	0.65	-35.29
NA	0.67	-35.2
NA	0.69	-35.055
NA	0.71	-35.84
NA	0.73	-35.75
NA	0.75	-35.135
NA	0.77	-35.345
NA	0.79	-35.575
NA	0.81	-35.53
NA	0.83	-35.275
NA	0.85	-35.475
NA	0.87	-35.57
NA	0.89	-35.48
NA	0.91	-35.49
NA	0.93	-35.475
NA	0.95	-35.365
NA	0.97	-35.295
NA	0.99	-35.53
NA	1.01	-35.765
NA	1.03	-35.44
NA	1.05	-35.1
NA	1.07	-35.13
NA	1.09	-35.01
NA	1.11	-34.99
NA	1.13	-35.195
NA	1.15	-35.57
NA	1.17	-35.54
NA	1.19	-35.55
NA	1.21	-35.6
NA	1.23	-35.395
NA	1.25	-35.36
NA	1.27	-35.325
NA	1.29	-35.21
NA	1.31	-35.24
NA	1.33	-35.33
NA	1.35	-35.3
NA	1.37	-35.205
NA	1.39	-34.915
NA	1.41	-35.065
NA	1.43	-35.35
NA	1.45	-35.2
NA	1.47	-35.21
NA	1.49	-34.855
NA	1.51	-35.105
NA	1.53	-35.555
NA	1.55	-35.58
NA	1.57	-35.605
NA	1.59	-35.37
NA	1.61	-35.55
NA	1.63	-35.1
NA	1.65	-34.55
NA	1.67	-34.955
NA	1.69	-35.565
NA	1.71	-35.675
NA	1.73	-35.38
NA	1.75	-35.535
NA	1.77	-35.365
NA	1.79	-35.24
NA	1.81	-35.725
NA	1.83	-35.67
NA	1.85	-35.455
NA	1.87	-35.42
NA	1.89	-35.205
NA	1.91	-35.215
NA	1.93	-34.94
NA	1.95	-34.78
NA	1.97	-34.75
NA	1.99	-34.57
NA	2.01	-34.905
NA	2.03	-35.21
NA	2.05	-35.215
NA	2.07	-34.95
NA	2.09	-35.07
NA	2.11	-35.15
NA	2.13	-34.92
NA	2.15	-34.98
NA	2.17	-35.265
NA	2.19	-35.32
NA	2.21	-35.625
NA	2.23	-35.915
NA	2.25	-35.48
NA	2.27	-35.23
NA	2.29	-35.05
NA	2.31	-34.705
NA	2.33	-34.69
NA	2.35	-34.96
NA	2.37	-35.025
NA	2.39	-35.015
NA	2.41	-35.175
NA	2.43	-35.17
NA	2.45	-34.88
NA	2.47	-34.77
NA	2.49	-35.09
NA	2.51	-35.6
NA	2.53	-35.68
NA	2.55	-35.595
NA	2.57	-35.27
NA	2.59	-35.035
NA	2.61	-35.04
NA	2.63	-35.135
NA	2.65	-35.245
NA	2.67	-35.235
NA	2.69	-35.275
NA	2.71	-35.14
NA	2.73	-35.285
NA	2.75	-35.375
NA	2.77	-35.22
NA	2.79	-35.11
NA	2.81	-34.965
NA	2.83	-34.87
NA	2.85	-34.95
NA	2.87	-34.955
NA	2.89	-34.775
NA	2.91	-35.06
NA	2.93	-35.345
NA	2.95	-35.09
NA	2.97	-34.895
NA	2.99	-34.595
NA	3.01	-34.595
NA	3.03	-34.83
NA	3.05	-34.82
NA	3.07	-35.12
NA	3.09	-35.295
NA	3.11	-35.04
NA	3.13	-35.04
NA	3.15	-35.055
NA	3.17	-34.92
NA	3.19	-34.955
NA	3.21	-35.15
NA	3.23	-34.9
NA	3.25	-34.895
NA	3.27	-35.265
NA	3.29	-35.02
NA	3.31	-35.15
NA	3.33	-35.395
NA	3.35	-35.245
NA	3.37	-35.065
NA	3.39	-34.59
NA	3.41	-34.635
NA	3.43	-35.2
NA	3.45	-35.04
NA	3.47	-34.73
NA	3.49	-34.735
NA	3.51	-34.93
NA	3.53	-35.235
NA	3.55	-35.015
NA	3.57	-34.925
NA	3.59	-35.26
NA	3.61	-35.095
NA	3.63	-34.7
NA	3.65	-34.86
NA	3.67	-35.135
NA	3.69	-35.055
NA	3.71	-34.605
NA	3.73	-34.495
NA	3.75	-34.695
NA	3.77	-34.545
NA	3.79	-34.53
NA	3.81	-35.005
NA	3.83	-35.315
NA	3.85	-35.025
NA	3.87	-34.895
NA	3.89	-35.09
NA	3.91	-35.265
NA	3.93	-35.13
NA	3.95	-35.12
NA	3.97	-35.25
NA	3.99	-35.005
NA	4.01	-34.985
NA	4.03	-35.04
NA	4.05	-35.05
NA	4.07	-34.775
NA	4.09	-34.805
NA	4.11	-34.97
NA	4.13	-35.135
NA	4.15	-35.335
NA	4.17	-35.005
NA	4.19	-35.035
NA	4.21	-34.96
NA	4.23	-34.74
NA	4.25	-34.63
NA	4.27	-34.64
NA	4.29	-34.895
NA	4.31	-35.135
NA	4.33	-35.09
NA	4.35	-34.775
NA	4.37	-34.71
NA	4.39	-34.77
NA	4.41	-34.875
NA	4.43	-35.235
NA	4.45	-35.335
NA	4.47	-34.98
NA	4.49	-34.41
NA	4.51	-34.43
NA	4.53	-34.975
NA	4.55	-34.99
NA	4.57	-35.05
NA	4.59	-35.05
NA	4.61	-34.52
NA	4.63	-34.39
NA	4.65	-34.54
NA	4.67	-34.78
NA	4.69	-34.87
NA	4.71	-34.95
NA	4.73	-35.115
NA	4.75	-34.865
NA	4.77	-34.75
NA	4.79	-34.94
NA	4.81	-34.815
NA	4.83	-34.68
NA	4.85	-34.74
NA	4.87	-34.795
NA	4.89	-34.675
NA	4.91	-34.655
NA	4.93	-34.84
NA	4.95	-34.72
NA	4.97	-34.6
NA	4.99	-34.56
NA	5.01	-34.325
NA	5.03	-34.5
NA	5.05	-34.855
NA	5.07	-34.66
NA	5.09	-34.665
NA	5.11	-34.715
NA	5.13	-34.735
NA	5.15	-34.74
NA	5.17	-34.875
NA	5.19	-34.92
NA	5.21	-34.89
NA	5.23	-34.45
NA	5.25	-34.24
NA	5.27	-34.765
NA	5.29	-34.82
NA	5.31	-34.65
NA	5.33	-34.915
NA	5.35	-35.15
NA	5.37	-34.9
NA	5.39	-35.08
NA	5.41	-35.175
NA	5.43	-34.87
NA	5.45	-34.94
NA	5.47	-34.725
NA	5.49	-34.58
NA	5.51	-34.86
NA	5.53	-34.69
NA	5.55	-34.5
NA	5.57	-34.615
NA	5.59	-34.53
NA	5.61	-34.29
NA	5.63	-34.64
NA	5.65	-34.92
NA	5.67	-34.985
NA	5.69	-34.535
NA	5.71	-34.54
NA	5.73	-35.19
NA	5.75	-34.845
NA	5.77	-34.88
NA	5.79	-34.97
NA	5.81	-34.7
NA	5.83	-34.63
NA	5.85	-34.525
NA	5.87	-34.605
NA	5.89	-34.865
NA	5.91	-34.865
NA	5.93	-34.33
NA	5.95	-34.075
NA	5.97	-34.405
NA	5.99	-34.76
NA	6.01	-34.82
NA	6.03	-34.79
NA	6.05	-34.94
NA	6.07	-34.9
NA	6.09	-34.775
NA	6.11	-35.135
NA	6.13	-34.88
NA	6.15	-34.72
NA	6.17	-34.94
NA	6.19	-34.55
NA	6.21	-34.405
NA	6.23	-34.655
NA	6.25	-34.89
NA	6.27	-34.735
NA	6.29	-34.59
NA	6.31	-34.865
NA	6.33	-34.755
NA	6.35	-34.79
NA	6.37	-34.875
NA	6.39	-34.575
NA	6.41	-34.73
NA	6.43	-34.925
NA	6.45	-34.61
NA	6.47	-34.425
NA	6.49	-34.345
NA	6.51	-34.52
NA	6.53	-34.645
NA	6.55	-34.41
NA	6.57	-34.515
NA	6.59	-34.77
NA	6.61	-34.99
