Age_(ka_BP)	Greenland_Stack
0	-35.426
0.05	-34.538
0.1	-35.020
0.15	-35.160
0.2	-35.459
0.25	-35.362
0.3	-35.771
0.35	-35.350
0.4	-35.321
0.45	-34.932
0.5	-35.500
0.55	-35.049
0.6	-35.056
0.65	-35.071
0.7	-35.581
0.75	-35.154
0.8	-35.479
0.85	-35.587
0.9	-35.531
0.95	-34.960
1	-35.010
1.05	-35.413
1.1	-35.548
1.15	-35.341
1.2	-35.211
1.25	-35.330
1.3	-34.913
1.35	-35.260
1.4	-34.844
1.45	-35.333
1.5	-35.370
1.55	-34.461
1.6	-35.566
1.65	-35.272
1.7	-35.240
1.75	-35.445
1.8	-35.205
1.85	-34.490
1.9	-34.572
1.95	-35.319
2	-35.070
2.05	-34.891
2.1	-35.321
2.15	-35.761
2.2	-35.054
2.25	-34.807
2.3	-35.017
2.35	-35.079
2.4	-35.091
2.45	-35.481
2.5	-35.032
2.55	-35.426
2.6	-35.277
2.65	-35.428
2.7	-35.110
2.75	-34.910
2.8	-34.775
2.85	-35.202
2.9	-34.593
2.95	-34.849
3	-35.295
3.05	-35.139
3.1	-34.955
3.15	-34.542
3.2	-35.018
3.25	-35.253
3.3	-34.587
3.35	-35.419
3.4	-34.734
3.45	-35.280
3.5	-35.260
3.55	-34.631
3.6	-35.055
3.65	-34.710
3.7	-34.530
3.75	-35.270
3.8	-35.087
3.85	-34.900
3.9	-35.005
3.95	-34.960
4	-34.808
4.05	-35.525
4.1	-35.038
4.15	-34.760
4.2	-34.896
4.25	-34.922
4.3	-34.770
4.35	-35.462
4.4	-34.412
4.45	-35.146
4.5	-35.045
4.55	-34.567
4.6	-34.867
4.65	-35.020
4.7	-34.939
4.75	-34.819
4.8	-34.683
4.85	-34.787
4.9	-34.560
4.95	-34.910
5	-34.664
5.05	-34.836
5.1	-34.918
5.15	-33.860
5.2	-34.819
5.25	-35.263
5.3	-35.083
5.35	-34.784
5.4	-34.582
5.45	-34.470
5.5	-34.530
5.55	-35.043
5.6	-34.558
5.65	-35.180
5.7	-34.985
5.75	-34.553
5.8	-34.867
5.85	-33.962
5.9	-34.763
5.95	-34.849
6	-34.775
6.05	-34.273
6.1	-34.554
6.15	-34.886
6.2	-34.590
6.25	-34.388
6.3	-34.575
6.35	-34.984
6.4	-34.342
6.45	-34.321
6.5	-34.779
6.55	-34.972
6.6	-34.491
6.65	-34.740
6.7	-34.505
6.75	-35.110
6.8	-34.341
6.85	-34.563
6.9	-34.289
6.95	-34.730
7	-34.859
7.05	-34.410
7.1	-34.667
7.15	-34.743
7.2	-34.900
7.25	-34.838
7.3	-34.684
7.35	-34.324
7.4	-34.560
7.45	-33.892
7.5	-34.912
7.55	-34.517
7.6	-34.447
7.65	-34.010
7.7	-34.177
7.75	-34.362
7.8	-34.055
7.85	-34.618
7.9	-34.637
7.95	-33.603
8	-34.414
8.05	-34.517
8.1	-34.732
8.15	-35.547
8.2	-35.955
8.25	-35.667
8.3	-34.781
8.35	-34.418
8.4	-34.633
8.45	-34.698
8.5	-34.909
8.55	-34.350
8.6	-34.628
8.65	-35.169
8.7	-34.710
8.75	-34.252
8.8	-34.631
8.85	-34.556
8.9	-34.509
8.95	-34.472
9	-35.377
9.05	-34.730
9.1	-34.727
9.15	-34.698
9.2	-35.286
9.25	-36.047
9.3	-34.973
9.35	-34.868
9.4	-34.986
9.45	-34.908
9.5	-34.751
9.55	-35.126
9.6	-34.859
9.65	-34.840
9.7	-34.755
9.75	-34.516
9.8	-35.284
9.85	-35.068
9.9	-35.211
9.95	-35.098
10	-35.472
10.05	-35.320
10.1	-35.207
10.15	-34.912
10.2	-35.947
10.25	-36.010
10.3	-35.650
10.35	-36.357
10.4	-36.079
10.45	-36.324
10.5	-35.795
10.55	-35.890
10.6	-36.145
10.65	-35.779
10.7	-36.157
10.75	-36.800
10.8	-36.324
10.85	-37.598
10.9	-37.069
10.95	-36.546
11	-36.544
11.05	-37.090
11.1	-36.791
11.15	-37.256
11.2	-37.065
11.25	-36.576
11.3	-36.791
11.35	-37.628
11.4	-38.361
11.45	-37.442
11.5	-36.746
11.55	-36.783
11.6	-36.625
11.65	-39.001
11.7	-40.229
11.75	-39.878
11.8	-40.075
11.85	-41.431
11.9	-41.136
11.95	-40.507
12	-39.777
12.05	-40.752
12.1	-41.173
12.15	-39.030
12.2	-40.392
12.25	-41.010
12.3	-41.362
12.35	-40.742
12.4	-41.229
12.45	-41.854
12.5	-39.951
12.55	-41.401
12.6	-41.185
12.65	-42.232
12.7	-41.531
12.75	-40.178
12.8	-39.401
12.85	-40.099
12.9	-38.016
12.95	-38.966
13	-39.518
13.05	-39.781
13.1	-40.860
13.15	-40.521
13.2	-40.024
13.25	-38.973
13.3	-39.212
13.35	-38.364
13.4	-38.342
13.45	-38.308
13.5	-38.180
13.55	-39.363
13.6	-39.624
13.65	-38.676
13.7	-38.043
13.75	-38.822
13.8	-38.486
13.85	-38.428
13.9	-38.333
13.95	-39.086
14	-40.041
14.05	-38.050
14.1	-38.340
14.15	-37.596
14.2	-38.084
14.25	-37.130
14.3	-37.169
14.35	-36.117
14.4	-37.169
14.45	-36.269
14.5	-36.140
14.55	-35.867
14.6	-37.501
14.65	-40.482
14.7	-41.578
14.75	-39.945
14.8	-41.618
14.85	-40.140
14.9	-41.706
14.95	-42.569
15	-42.367
15.05	-43.354
15.1	-41.280
15.15	-42.142
15.2	-42.096
15.25	-42.004
15.3	-41.422
15.35	-40.087
15.4	-42.650
15.45	-41.966
15.5	-42.535
15.55	-42.305
15.6	-42.155
15.65	-43.490
15.7	-43.671
15.75	-43.440
15.8	-41.406
15.85	-43.050
15.9	-41.047
15.95	-41.935
16	-41.357
16.05	-44.903
16.1	-42.020
16.15	-41.677
16.2	-41.165
16.25	-40.745
16.3	-42.425
16.35	-42.714
16.4	-41.647
16.45	-41.180
16.5	-40.992
16.55	-40.692
16.6	-41.835
16.65	-40.650
16.7	-40.068
16.75	-40.937
16.8	-40.062
16.85	-40.301
16.9	-41.852
16.95	-42.112
17	-41.147
17.05	-39.213
17.1	-40.036
17.15	-40.550
17.2	-41.718
17.25	-39.800
17.3	-40.597
17.35	-41.290
17.4	-41.901
17.45	-40.721
17.5	-40.053
17.55	-41.641
17.6	-40.325
17.65	-40.660
17.7	-41.328
17.75	-40.798
17.8	-41.878
17.85	-41.134
17.9	-42.165
17.95	-42.308
18	-41.224
18.05	-42.899
18.1	-41.795
18.15	-40.976
18.2	-41.743
18.25	-42.269
18.3	-43.158
18.35	-42.348
18.4	-42.178
18.45	-40.071
18.5	-40.817
18.55	-42.770
18.6	-40.689
18.65	-41.676
18.7	-41.823
18.75	-41.464
18.8	-41.377
18.85	-40.292
18.9	-41.447
18.95	-41.290
19	-41.294
19.05	-42.013
19.1	-42.599
19.15	-43.693
19.2	-42.245
19.25	-42.663
19.3	-41.470
19.35	-42.866
19.4	-41.652
19.45	-42.136
19.5	-41.728
19.55	-40.492
19.6	-41.345
19.65	-41.427
19.7	-41.414
19.75	-42.807
19.8	-40.774
19.85	-41.381
19.9	-42.110
19.95	-42.630
20	-42.264
20.05	-41.338
20.1	-42.320
20.15	-42.767
20.2	-41.938
20.25	-41.946
20.3	-42.471
20.35	-44.361
20.4	-43.376
20.45	-41.921
20.5	-44.240
20.55	-42.067
20.6	-41.494
20.65	-43.485
20.7	-41.462
20.75	-42.961
20.8	-42.956
20.85	-43.220
20.9	-43.458
20.95	-44.836
21	-42.387
21.05	-43.306
21.1	-41.965
21.15	-43.880
21.2	-43.293
21.25	-41.037
21.3	-43.040
21.35	-42.515
21.4	-41.769
21.45	-44.459
21.5	-42.430
21.55	-41.142
21.6	-42.615
21.65	-41.718
21.7	-43.270
21.75	-43.488
21.8	-43.187
21.85	-41.376
21.9	-42.339
21.95	-42.603
22	-41.167
22.05	-41.064
22.1	-41.543
22.15	-41.520
22.2	-41.290
22.25	-42.436
22.3	-41.932
22.35	-42.424
22.4	-42.433
22.45	-41.990
22.5	-42.911
22.55	-42.333
22.6	-42.852
22.65	-43.306
22.7	-40.686
22.75	-42.480
22.8	-42.000
22.85	-42.357
22.9	-41.133
22.95	-41.830
23	-41.998
23.05	-43.585
23.1	-41.947
23.15	-41.537
23.2	-41.528
23.25	-39.153
23.3	-40.493
23.35	-42.814
23.4	-42.617
23.45	-42.040
23.5	-44.399
23.55	-41.840
23.6	-43.777
23.65	-44.489
23.7	-42.528
23.75	-43.951
23.8	-44.135
23.85	-43.118
23.9	-43.644
23.95	-41.022
24	-43.386
24.05	-44.227
24.1	-43.681
24.15	-42.453
24.2	-44.413
24.25	-43.749
24.3	-43.393
24.35	-43.896
24.4	-42.152
24.45	-43.124
24.5	-43.719
24.55	-42.023
24.6	-44.323
24.65	-44.653
24.7	-42.858
24.75	-43.299
24.8	-43.954
24.85	-44.846
24.9	-42.674
24.95	-42.656
25	-43.146
25.05	-44.330
25.1	-43.750
25.15	-43.113
25.2	-43.226
25.25	-43.894
25.3	-43.678
25.35	-43.458
25.4	-44.769
25.45	-44.126
25.5	-42.037
25.55	-43.635
25.6	-43.890
25.65	-46.053
25.7	-44.513
25.75	-43.457
25.8	-44.512
25.85	-44.548
25.9	-42.862
25.95	-42.673
26	-44.460
26.05	-43.674
26.1	-43.255
26.15	-41.705
26.2	-43.084
26.25	-42.921
26.3	-42.438
26.35	-41.779
26.4	-43.132
26.45	-42.784
26.5	-45.436
26.55	-43.410
26.6	-43.551
26.65	-43.627
26.7	-44.104
26.75	-44.362
26.8	-42.840
26.85	-43.452
26.9	-43.600
26.95	-43.652
27	-44.331
27.05	-42.929
27.1	-42.782
27.15	-43.266
27.2	-43.201
27.25	-43.448
27.3	-43.930
27.35	-43.701
27.4	-44.462
27.45	-42.992
27.5	-42.383
27.55	-40.937
27.6	-39.404
27.65	-40.395
27.7	-38.290
27.75	-42.611
27.8	-44.201
27.85	-44.862
27.9	-43.446
27.95	-44.059
28	-44.478
28.05	-44.917
28.1	-43.494
28.15	-43.692
28.2	-44.678
28.25	-43.676
28.3	-45.096
28.35	-44.900
28.4	-43.738
28.45	-44.989
28.5	-43.103
28.55	-42.806
28.6	-40.636
28.65	-40.171
28.7	-40.470
28.75	-38.690
28.8	-39.818
28.85	-41.789
28.9	-43.379
28.95	-45.360
29	-43.673
29.05	-45.133
29.1	-43.806
29.15	-45.248
29.2	-44.213
29.25	-43.694
29.3	-43.796
29.35	-43.246
29.4	-44.573
29.45	-43.935
29.5	-44.252
29.55	-45.795
29.6	-43.773
29.65	-46.369
29.7	-45.272
29.75	-43.627
29.8	-44.852
29.85	-44.665
29.9	-44.208
29.95	-43.154
30	-45.607
30.05	-44.922
30.1	-44.661
30.15	-43.100
30.2	-44.602
30.25	-44.777
30.3	-43.893
30.35	-43.736
30.4	-45.053
30.45	-43.921
30.5	-43.852
30.55	-44.190
30.6	-42.745
30.65	-43.319
30.7	-42.406
30.75	-44.030
30.8	-43.360
30.85	-43.146
30.9	-45.119
30.95	-44.348
31	-43.257
31.05	-44.199
31.1	-43.301
31.15	-45.055
31.2	-44.216
31.25	-43.969
31.3	-43.651
31.35	-45.139
31.4	-43.850
31.45	-43.291
31.5	-43.598
31.55	-43.368
31.6	-43.944
31.65	-43.621
31.7	-42.943
31.75	-43.312
31.8	-44.297
31.85	-44.829
31.9	-43.821
31.95	-42.605
32	-42.518
32.05	-41.289
32.1	-40.794
32.15	-40.846
32.2	-40.131
32.25	-40.518
32.3	-40.430
32.35	-39.125
32.4	-39.185
32.45	-40.020
32.5	-43.733
32.55	-43.758
32.6	-43.982
32.65	-45.709
32.7	-43.757
32.75	-45.033
32.8	-44.825
32.85	-44.230
32.9	-42.844
32.95	-44.264
33	-43.330
33.05	-44.323
33.1	-43.722
33.15	-42.715
33.2	-43.916
33.25	-43.778
33.3	-43.323
